brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,cells_missing_flag,footprint_m2,volume_m3,battery_per_seat,torque_per_100kwh,segment_group
Abarth,500e Convertible,155,37.8,192.0,235.0,156,225,7.0,67.0,0.0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,0,6.181659000000001,9.383758362000002,9.45,621.6931216931217,B
Abarth,500e Hatchback,155,37.8,192.0,235.0,149,225,7.0,67.0,0.0,185,4,FWD,B - Compact,3673,1683,1518,Hatchback,0,6.181659000000001,9.383758362000002,9.45,621.6931216931217,B
Abarth,600e Scorpionissima,200,50.8,102.0,345.0,158,280,5.9,79.0,0.0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,0,7.448673,11.597583861,10.16,679.1338582677166,JB
Abarth,600e Turismo,200,50.8,102.0,345.0,158,280,6.2,79.0,0.0,360,5,FWD,JB - Compact,4187,1779,1557,SUV,0,7.448673,11.597583861,10.16,679.1338582677166,JB
Aiways,U5,150,60.0,,310.0,156,315,7.5,78.0,,496,5,FWD,JC - Medium,4680,1865,1700,SUV,1,8.7282,14.837939999999998,12.0,516.6666666666667,JC
Aiways,U6,160,60.0,,315.0,150,350,7.0,78.0,,472,5,FWD,JC - Medium,4805,1880,1641,SUV,1,9.033399999999999,14.823809399999998,12.0,525.0,JC
Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,102.0,260.0,128,320,9.0,85.0,0.0,400,5,FWD,JB - Compact,4173,1781,1532,SUV,0,7.432112999999999,11.385997115999999,10.16,511.8110236220473,JB
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,102.0,345.0,164,310,6.0,85.0,0.0,400,5,FWD,JB - Compact,4173,1781,1505,SUV,0,7.432112999999999,11.185330064999999,10.16,679.1338582677166,JB
Alpine,A290 Electric 180 hp,160,52.0,184.0,285.0,138,310,7.4,70.0,500.0,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,0,7.286530999999999,11.017234872,10.4,548.0769230769231,B
Alpine,A290 Electric 220 hp,170,52.0,184.0,300.0,144,305,6.4,70.0,500.0,326,5,FWD,B - Compact,3997,1823,1512,Hatchback,0,7.286530999999999,11.017234872,10.4,576.9230769230769,B
Audi,A6 Avant e-tron,210,75.8,150.0,435.0,146,465,6.0,150.0,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,0,9.476544,13.788371520000002,15.16,573.8786279683378,JE
Audi,A6 Avant e-tron performance,210,94.9,180.0,565.0,151,575,5.4,200.0,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,0,9.476544,13.788371520000002,18.98,595.36354056902,JE
Audi,A6 Avant e-tron quattro,210,94.9,180.0,855.0,157,560,4.5,200.0,2100.0,502,5,AWD,JE - Executive,4928,1923,1455,Station/Estate,0,9.476544,13.788371520000002,18.98,900.9483667017912,JE
Audi,A6 Sportback e-tron,210,75.8,150.0,435.0,136,495,6.0,150.0,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,0,9.476544,13.788371520000002,15.16,573.8786279683378,JE
Audi,A6 Sportback e-tron performance,210,94.9,180.0,565.0,141,610,5.4,200.0,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,0,9.476544,13.788371520000002,18.98,595.36354056902,JE
Audi,A6 Sportback e-tron quattro,210,94.9,180.0,855.0,147,590,4.7,200.0,2100.0,502,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan,0,9.476544,13.788371520000002,18.98,900.9483667017912,JE
Audi,Q4 Sportback e-tron 40,160,59.0,216.0,310.0,156,340,8.1,110.0,1000.0,520,5,RWD,JC - Medium,4588,1865,1614,SUV,0,8.55662,13.810384680000002,11.8,525.4237288135594,JC
Audi,Q4 Sportback e-tron 45,180,77.0,288.0,545.0,162,435,6.7,120.0,1000.0,535,5,RWD,JC - Medium,4588,1865,1614,SUV,0,8.55662,13.810384680000002,15.4,707.7922077922078,JC
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,288.0,679.0,165,410,6.6,120.0,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV,0,8.55662,13.810384680000002,15.4,881.8181818181819,JC
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,288.0,679.0,165,415,5.4,120.0,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV,0,8.55662,13.810384680000002,15.4,881.8181818181819,JC
Audi,Q4 e-tron 40,160,59.0,216.0,310.0,159,325,8.1,110.0,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV,0,8.55662,13.96440384,11.8,525.4237288135594,JC
Audi,Q4 e-tron 45,180,77.0,288.0,545.0,169,420,6.7,120.0,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV,0,8.55662,13.96440384,15.4,707.7922077922078,JC
Audi,Q4 e-tron 45 quattro,180,77.0,288.0,679.0,171,395,6.6,120.0,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV,0,8.55662,13.96440384,15.4,881.8181818181819,JC
Audi,Q4 e-tron 55 quattro,180,77.0,288.0,679.0,171,395,5.4,120.0,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV,0,8.55662,13.96440384,15.4,881.8181818181819,JC
Audi,Q6 e-tron,210,75.8,150.0,450.0,166,395,7.0,150.0,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV,0,9.250969,15.587882765,15.16,593.6675461741424,JD
Audi,Q6 e-tron Sportback,210,75.8,150.0,450.0,139,410,7.0,150.0,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV,0,9.250969,15.402863385,15.16,593.6675461741424,JD
Audi,Q6 e-tron Sportback performance,210,94.9,180.0,485.0,145,510,6.6,190.0,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV,0,9.250969,15.402863385,18.98,511.0642781875658,JD
Audi,Q6 e-tron Sportback quattro,210,94.9,180.0,855.0,149,500,5.9,200.0,2400.0,511,5,AWD,JD - Large,4771,1939,1665,SUV,0,9.250969,15.402863385,18.98,900.9483667017912,JD
Audi,Q6 e-tron performance,210,94.9,180.0,485.0,171,490,6.6,190.0,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV,0,9.250969,15.587882765,18.98,511.0642781875658,JD
